;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;180801;;;;;;;180802;;;;;;;180803;;;;;;;180806;;;;;;;180807;;;;;;;180808;;;;;;;180810;;;;;;
;180801_FL-10.txt;58;53;59;48;49;54;180802_10.txt;30;25;17;20;8;4;180803_FL-10.txt;35;39;56;52;43;47;180806_FL-10.txt;47;50;43;40;56;39;180807_FL-10.txt;6;5;3;4;2;1;180808_FL-10.txt;58;56;49;59;55;57;180810_FL-10.txt;32;42;33;34;36;31
;180801_FL-1.txt;1;2;3;4;5;6;180802_1.txt;31;32;35;34;33;39;180803_FL-1.txt;17;19;25;29;8;20;180806_FL-1.txt;2;28;19;17;25;20;180807_FL-1.txt;54;55;57;56;58;59;180808_FL-1.txt;5;3;1;2;4;12;180810_FL-1.txt;27;28;25;29;30;26
;180801_FL-2.txt;8;11;12;7;10;9;180802_2.txt;43;47;48;52;56;60;180803_FL-2.txt;30;4;7;28;2;15;180806_FL-2.txt;16;23;4;15;18;30;180807_FL-2.txt;47;60;49;48;50;51;180808_FL-2.txt;11;6;9;7;10;8;180810_FL-2.txt;20;21;17;22;9;18
;180801_FL-3.txt;13;17;15;16;18;14;180802_3.txt;38;46;55;42;51;59;180803_FL-3.txt;24;3;12;23;16;11;180806_FL-3.txt;27;10;6;7;12;3;180807_FL-3.txt;52;53;46;45;43;44;180808_FL-3.txt;17;18;14;16;13;15;180810_FL-3.txt;6;19;23;11;15;24
;180801_FL-4.txt;21;22;20;26;19;23;180802_4.txt;37;41;45;50;54;48;180803_FL-4.txt;22;14;27;6;10;18;180806_FL-4.txtbad;1;11;13;26;5;21;180807_FL-4.txt;39;41;40;37;42;38;180808_FL-4.txt;24;23;21;20;19;22;180810_FL-4.txt;7;10;13;8;14;16
;180801_FL-5.txt;27;28;29;30;24;25;180802_5.txt;36;40;49;44;53;57;180803_FL-5.txt;1;9;26;21;13;5;180806_FL-5.txt;29;14;8;24;9;22;180807_FL-5.txt;35;36;34;33;31;32;180808_FL-5.txt;29;30;26;27;25;28;180810_FL-5.txt;3;4;12;5;1;2
;180801_FL-6.txt;31;33;32;35;34;39;180802_6.txt;26;21;9;13;5;1;180803_FL-6.txt;44;34;36;40;53;57;180806_FL-6.txt;31;34;57;36;44;53;180807_FL-6.txt;30;29;27;28;26;25;180808_FL-6.txt;42;36;34;31;32;33;180810_FL-6.txt;49;50;58;44;60;56
;180801_FL-7.txt;40;36;38;37;41;42;180802_7.txt;27;22;14;18;10;6;180803_FL-7.txt;54;31;50;58;49;37;180806_FL-7.txt;42;32;54;49;37;58;180807_FL-7.txt;23;24;21;22;20;19;180808_FL-7.txt;38;40;41;37;35;39;180810_FL-7.txt;57;55;47;59;43;45
;180801_FL-8.txt;43;45;50;51;46;44;180802_8.txt;28;2;15;23;11;7;180803_FL-8.txt;45;41;33;32;51;42;180806_FL-8.txt;48;60;41;55;45;33;180807_FL-8.txt;18;17;16;15;14;13;180808_FL-8.txt;52;53;43;48;50;46;180810_FL-8.txt;54;52;53;51;37;46
;180801_FL-9.txt;52;47;56;55;60;57;180802_9.txt;29;24;19;3;16;12;180803_FL-9.txt;46;59;38;55;48;60;180806_FL-9.txt;46;59;51;35;52;38;180807_FL-9.txt;12;11;9;10;7;8;180808_FL-9.txt;44;60;47;54;45;51;180810_FL-9.txt;41;40;39;38;48;35
